"Respuesta","Enviado.el.","Q01_Genero","Q02_FechaNac","Q03_Carrera","Q04_Semestre","Q05_Saber11","Q06_PercentilSaber11","Q07_FechaSaber11","Q08_PAPA","Q09_EnAreaMetropolitana","Q10_Estrato","Q11_R","Q12_RStudio","Q13_NoRoRStudio","Q14_RecursosInformaticos..Internet.de.cable.propio","Q14_RecursosInformaticos..Internet.de.cable.no.propio","Q14_RecursosInformaticos..Wifi.propio","Q14_RecursosInformaticos..Wifi.no.propio","Q14_RecursosInformaticos..Celular.sin.datos","Q14_RecursosInformaticos..Celular.con.datos","Q14_RecursosInformaticos..Portátil.propio","Q14_RecursosInformaticos..Portátil.no.propio","Q14_RecursosInformaticos..Computador.de.escritorio.propio.y.exclusivo","Q14_RecursosInformaticos..Computador.de.escritorio.no.propio.pero.exclusivo","Q14_RecursosInformaticos..Computador.propio..pero.no.exclusivo","Q14_RecursosInformaticos..Computador.de.escritorio.ni.propio.ni.exclusivo","Q14_RecursosInformaticos..Tablet.sin.datos","Q14_RecursosInformaticos..Tablet.con.datos.","Q15_Alunizaje","Q16_EspionajeInternet","Q17_Experimentos","Q18_Vacunas","Q19_EvidenciaFalsa","Q20_RafagasSolares","Q21_TierraHueca","Q22_alienigenas","Q23_CambioClimatico","Q24_area","Q25_PorcentArea","Q26_Divisor..f.es.divisor.de.g.2.","Q26_Divisor..f.es.divisor.de.gh.","Q26_Divisor..f.es.divisor.de.h.g","Q27_PorcentDivisor"
"2490","26/02/2021 09:43:10","1 : Masculino","2000-12-14","3 : Estadística",2,332,94,"2017-08-27",4.2,0,"4 : 3",1,1,"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3 : 4.5*pi",30,0,1,1,60
"2471","26/02/2021 09:42:30","1 : Masculino","2002-07-11","3 : Estadística",2,350,94,"2019-06-10",4,1,"5 : 4",1,1,"",1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,"6 : Ninguna de las anteriores",40,0,1,0,40
"2498","26/02/2021 09:44:52","1 : Masculino","2003-02-28","3 : Estadística",2,275,78,"2019-08-11",4,1,"4 : 3",0,0,"No por el trabajo no he estado mucho tiempo en mi casa",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"4 : 4*pi",50,0,1,0,50
"2480","26/02/2021 09:47:06","1 : Masculino","2002-12-28","3 : Estadística",1.5,331,94,"2019-08-11",4.4,1,"4 : 3",1,1,"",1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,"6 : Ninguna de las anteriores",33,1,1,1,50
"2501","26/02/2021 09:47:08","1 : Masculino","2001-07-18","3 : Estadística",1.7,316,89,"2018-08-12",4.2,1,"3 : 2",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"6 : Ninguna de las anteriores",30,1,1,1,40
"2507","26/02/2021 09:51:15","2 : Femenino","1996-05-27","3 : Estadística",2,275,75,"2013-08-25",NA,0,"3 : 2",1,1,"",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,"4 : 4*pi",15,1,1,1,30
"2491","26/02/2021 09:50:57","2 : Femenino","2003-01-13","3 : Estadística",2,277,72,"2019-08-11",4.5,0,"4 : 3",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,"1 : 7.5*pi",40,1,1,1,85
"2453","26/02/2021 09:42:09","1 : Masculino","2002-05-19","3 : Estadística",2,329,88,"2018-08-12",3.9,0,"3 : 2",1,1,"",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,"3 : 4.5*pi",50,1,1,0,60
"2458","26/02/2021 09:46:45","1 : Masculino","1998-04-25","3 : Estadística",1.5,318,83,"2015-08-02",3.7,0,"2 : 1",1,1,"",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"6 : Ninguna de las anteriores",50,0,1,0,90
"2506","26/02/2021 09:50:15","2 : Femenino","2002-09-12","3 : Estadística",2,306,87,"2019-08-11",3.6,0,"4 : 3",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"5 : 3*pi",44,0,1,0,63
"2497","26/02/2021 09:46:02","1 : Masculino","1999-01-14","3 : Estadística",2,262,60,"2016-06-15",NA,1,"4 : 3",1,1,"",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,"5 : 3*pi",5,0,1,0,4
"2513","26/02/2021 09:52:58","2 : Femenino","2002-10-25","3 : Estadística",2,343,97,"2019-08-11",4,1,"4 : 3",1,1,"",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,"6 : Ninguna de las anteriores",65,1,0,0,70
"2516","26/02/2021 09:58:56","2 : Femenino","1998-08-28","3 : Estadística",2,302,80,"2015-08-01",3.6,1,"3 : 2",1,1,"",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,"3 : 4.5*pi",65,0,1,0,70
"2476","26/02/2021 09:50:29","1 : Masculino","2003-01-09","3 : Estadística",NA,274,260,"2019-08-11",NA,0,"2 : 1",1,0,"RStudio no me permite instalar por que mi sistema operativo es de 32 bits",1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"5 : 3*pi",70,1,1,0,70
"2456","26/02/2021 09:42:40","1 : Masculino","2002-08-06","3 : Estadística",2,299,80,"2021-08-08",4.1,1,"4 : 3",1,1,"",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,"4 : 4*pi",80,1,0,0,80
"2465","26/02/2021 09:45:02","2 : Femenino","1998-09-04","3 : Estadística",2,375,60,"2015-08-04",4.2,1,"8 : No se conoce",1,0,"",0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,"3 : 4.5*pi",75,1,1,1,70
"2467","26/02/2021 09:44:06","2 : Femenino","1998-11-25","3 : Estadística",2,314,60,"2015-08-06",4.3,1,"3 : 2",0,0,"No cuento con capacidad para descargar estos programas, estoy a la espera de un nuevo computador ",0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,"2 : 6*pi",3,0,1,0,2
